panel,scenario,method,x,y,lower,upper,n
false_component_crossing,equal error 0.10,e-process,0.1,0.005875,0.004421181780025844,0.007803130673448256,8000
false_component_crossing,equal error 0.10,unadjusted 20-look test,0.1,0.170875,0.16278536034049673,0.17928056798988456,8000
false_component_crossing,equal error 0.10,Bonferroni 20-look test,0.1,0.0115,0.009386916737151677,0.014081996257580621,8000
false_component_crossing,equal error 0.20,e-process,0.2,0.0095,0.007597275114524522,0.011873557687760414,8000
false_component_crossing,equal error 0.20,unadjusted 20-look test,0.2,0.180875,0.17259414047658453,0.18946218881603358,8000
false_component_crossing,equal error 0.20,Bonferroni 20-look test,0.2,0.0125,0.01028874626116762,0.01517920682978836,8000
false_component_crossing,equal error 0.30,e-process,0.3,0.009625,0.0077085045258597044,0.012012208288453192,8000
false_component_crossing,equal error 0.30,unadjusted 20-look test,0.3,0.182375,0.1740663007221848,0.19098858871476884,8000
false_component_crossing,equal error 0.30,Bonferroni 20-look test,0.3,0.013625,0.01130799770527084,0.016408875493936777,8000
dependent_false_component_crossing,persistent shared difficulty,e-process,,0.002,0.0012314880574219205,0.0032465440231854194,8000
dependent_false_component_crossing,persistent shared difficulty,unadjusted 20-look test,,0.14325,0.13574440432056092,0.1510980413516412,8000
dependent_false_component_crossing,persistent shared difficulty,Bonferroni 20-look test,,0.0065,0.004960480679358951,0.00851323183425495,8000
promotion_summary,loss gap 0.05,e-process,0.05,0.275625,0.26594306185479244,0.28552231655501925,8000
promotion_summary,loss gap 0.05,unadjusted 20-look test,0.05,0.88175,0.874490290276357,0.8886432664570328,8000
promotion_summary,loss gap 0.05,Bonferroni 20-look test,0.05,0.456625,0.445733190894751,0.4675584449315468,8000
promotion_summary,loss gap 0.10,e-process,0.1,0.973625,0.9698796534900328,0.9769157120839075,8000
promotion_summary,loss gap 0.10,unadjusted 20-look test,0.1,0.99975,0.9990888497824459,0.9999314383053381,8000
promotion_summary,loss gap 0.10,Bonferroni 20-look test,0.1,0.993875,0.9919123085817702,0.9953636189406997,8000
promotion_summary,loss gap 0.20,e-process,0.2,1.0,0.99952004811184,1.0,8000
promotion_summary,loss gap 0.20,unadjusted 20-look test,0.2,1.0,0.99952004811184,1.0,8000
promotion_summary,loss gap 0.20,Bonferroni 20-look test,0.2,1.0,0.99952004811184,1.0,8000
promotion_curve,loss gap 0.10,e-process,0.0,0.0,,,8000
promotion_curve,loss gap 0.10,e-process,10.0,0.000375,,,8000
promotion_curve,loss gap 0.10,e-process,20.0,0.0075,,,8000
promotion_curve,loss gap 0.10,e-process,30.0,0.0215,,,8000
promotion_curve,loss gap 0.10,e-process,40.0,0.033125,,,8000
promotion_curve,loss gap 0.10,e-process,50.0,0.047,,,8000
promotion_curve,loss gap 0.10,e-process,60.0,0.05875,,,8000
promotion_curve,loss gap 0.10,e-process,70.0,0.069375,,,8000
promotion_curve,loss gap 0.10,e-process,80.0,0.082625,,,8000
promotion_curve,loss gap 0.10,e-process,90.0,0.094,,,8000
promotion_curve,loss gap 0.10,e-process,100.0,0.105875,,,8000
promotion_curve,loss gap 0.10,e-process,110.0,0.11725,,,8000
promotion_curve,loss gap 0.10,e-process,120.0,0.12975,,,8000
promotion_curve,loss gap 0.10,e-process,130.0,0.143125,,,8000
promotion_curve,loss gap 0.10,e-process,140.0,0.156375,,,8000
promotion_curve,loss gap 0.10,e-process,150.0,0.170875,,,8000
promotion_curve,loss gap 0.10,e-process,160.0,0.18725,,,8000
promotion_curve,loss gap 0.10,e-process,170.0,0.20275,,,8000
promotion_curve,loss gap 0.10,e-process,180.0,0.21925,,,8000
promotion_curve,loss gap 0.10,e-process,190.0,0.23525,,,8000
promotion_curve,loss gap 0.10,e-process,200.0,0.251875,,,8000
promotion_curve,loss gap 0.10,e-process,210.0,0.267875,,,8000
promotion_curve,loss gap 0.10,e-process,220.0,0.28625,,,8000
promotion_curve,loss gap 0.10,e-process,230.0,0.30225,,,8000
promotion_curve,loss gap 0.10,e-process,240.0,0.32,,,8000
promotion_curve,loss gap 0.10,e-process,250.0,0.3365,,,8000
promotion_curve,loss gap 0.10,e-process,260.0,0.356625,,,8000
promotion_curve,loss gap 0.10,e-process,270.0,0.3745,,,8000
promotion_curve,loss gap 0.10,e-process,280.0,0.391125,,,8000
promotion_curve,loss gap 0.10,e-process,290.0,0.40875,,,8000
promotion_curve,loss gap 0.10,e-process,300.0,0.42575,,,8000
promotion_curve,loss gap 0.10,e-process,310.0,0.442,,,8000
promotion_curve,loss gap 0.10,e-process,320.0,0.458625,,,8000
promotion_curve,loss gap 0.10,e-process,330.0,0.475375,,,8000
promotion_curve,loss gap 0.10,e-process,340.0,0.4925,,,8000
promotion_curve,loss gap 0.10,e-process,350.0,0.50775,,,8000
promotion_curve,loss gap 0.10,e-process,360.0,0.52425,,,8000
promotion_curve,loss gap 0.10,e-process,370.0,0.54075,,,8000
