seed,corruption,severity,n_observations,mean_brier_advantage,mean_error_advantage
0,gaussian_noise,1,2000,0.026479419264241275,0.031
0,gaussian_noise,2,2000,0.1144647216829112,0.1365
0,gaussian_noise,3,2000,0.22504591698455234,0.2605
0,gaussian_noise,4,2000,0.31085952770817415,0.3625
0,gaussian_noise,5,2000,0.36155617149363545,0.4
0,shot_noise,1,2000,0.015942074971814827,0.0205
0,shot_noise,2,2000,0.0490681300861891,0.061
0,shot_noise,3,2000,0.15701238294620334,0.192
0,shot_noise,4,2000,0.228006973228864,0.2735
0,shot_noise,5,2000,0.3177506104838755,0.363
0,impulse_noise,1,2000,0.011411880201713262,0.013
0,impulse_noise,2,2000,0.053414329702436036,0.0715
0,impulse_noise,3,2000,0.11073392186360116,0.1465
0,impulse_noise,4,2000,0.2032380413468585,0.2515
0,impulse_noise,5,2000,0.3244966659281985,0.374
0,defocus_blur,1,2000,0.0004503271814521284,-0.003
0,defocus_blur,2,2000,0.006707387388163205,0.006
0,defocus_blur,3,2000,0.036273884982524034,0.0445
0,defocus_blur,4,2000,0.08966218969081885,0.118
0,defocus_blur,5,2000,0.21847605928490185,0.2725
0,glass_blur,1,2000,0.08812127688023545,0.0995
0,glass_blur,2,2000,0.1507725162229772,0.1925
0,glass_blur,3,2000,0.15295005634523556,0.1955
0,glass_blur,4,2000,0.22653957010261286,0.2685
0,glass_blur,5,2000,0.20722174667226226,0.245
0,motion_blur,1,2000,0.014358212526673225,0.019
0,motion_blur,2,2000,0.0691696329674338,0.093
0,motion_blur,3,2000,0.12825453057570513,0.169
0,motion_blur,4,2000,0.13839030016530074,0.181
0,motion_blur,5,2000,0.1884054139062,0.2505
0,zoom_blur,1,2000,0.02020650604202749,0.0275
0,zoom_blur,2,2000,0.053562484928619085,0.068
0,zoom_blur,3,2000,0.0890809689257129,0.1165
0,zoom_blur,4,2000,0.1174724896883108,0.1655
0,zoom_blur,5,2000,0.17388033055510815,0.2415
0,snow,1,2000,0.007843605650981883,0.009
0,snow,2,2000,0.04177846790579952,0.056
0,snow,3,2000,0.03647115853446631,0.0475
0,snow,4,2000,0.044451143277483174,0.0485
0,snow,5,2000,0.08442301638399885,0.102
0,frost,1,2000,0.012521377282244152,0.0215
0,frost,2,2000,0.032939077343830815,0.048
0,frost,3,2000,0.07799882393059485,0.097
0,frost,4,2000,0.09030958766908845,0.1165
0,frost,5,2000,0.15947678986347993,0.2005
0,fog,1,2000,0.002213005298264383,0.002
0,fog,2,2000,0.011726607531305605,0.0155
0,fog,3,2000,0.022595233454304073,0.0335
0,fog,4,2000,0.04962293959707361,0.0605
0,fog,5,2000,0.1329193236092902,0.169
0,brightness,1,2000,0.0012190743344953148,-0.0005
0,brightness,2,2000,-0.0002065798021997919,0.0
0,brightness,3,2000,0.005700271026175039,0.0055
0,brightness,4,2000,0.01197852367355856,0.021
0,brightness,5,2000,0.025654428001057886,0.036
0,contrast,1,2000,0.0033126432829759843,0.006
0,contrast,2,2000,0.029819826724138115,0.039
0,contrast,3,2000,0.07511557553339503,0.1015
0,contrast,4,2000,0.18040348781347165,0.2405
0,contrast,5,2000,0.44709420417105,0.5505
0,elastic_transform,1,2000,0.005784780560456692,0.013
0,elastic_transform,2,2000,0.013016712761749335,0.0135
0,elastic_transform,3,2000,0.03571896143744552,0.0425
0,elastic_transform,4,2000,0.04293241984839273,0.0635
0,elastic_transform,5,2000,0.03676289062741744,0.0505
0,pixelate,1,2000,0.005175089294370699,0.0065
0,pixelate,2,2000,0.022886261278187867,0.033
0,pixelate,3,2000,0.04987107259370214,0.0655
0,pixelate,4,2000,0.13666654615206786,0.1715
0,pixelate,5,2000,0.23842376077068178,0.283
0,jpeg_compression,1,2000,0.006484025238102815,0.009
0,jpeg_compression,2,2000,0.009127803387822245,0.011
0,jpeg_compression,3,2000,0.01166896138454722,0.0205
0,jpeg_compression,4,2000,0.01849085944457101,0.019
0,jpeg_compression,5,2000,0.027940383902167482,0.0375
1,gaussian_noise,1,2000,0.026043471514231274,0.028
1,gaussian_noise,2,2000,0.11144385487504635,0.1395
1,gaussian_noise,3,2000,0.22601088182926987,0.271
1,gaussian_noise,4,2000,0.30621442307033386,0.361
1,gaussian_noise,5,2000,0.3514546596102647,0.3995
1,shot_noise,1,2000,0.013575036750000753,0.0145
1,shot_noise,2,2000,0.058847001544074115,0.0795
1,shot_noise,3,2000,0.15945034123105079,0.201
1,shot_noise,4,2000,0.22642773113935155,0.2765
1,shot_noise,5,2000,0.2968928944340923,0.354
1,impulse_noise,1,2000,0.013294064142913871,0.0115
1,impulse_noise,2,2000,0.05633283884393773,0.077
