dataset,architecture,seed,corruption,n_stream_observations,online_learning_rate,mean_brier_advantage,mean_error_advantage,brier_promotion_time,error_promotion_time,promotion_time,brier_final_log_evidence,error_final_log_evidence
CIFAR-10-C,ResNet-18,0,gaussian_noise,10000,0.001,0.20768115142670285,0.2381,584,345,584,1516.3727700291633,1312.6018776109024
CIFAR-10-C,ResNet-18,0,shot_noise,10000,0.001,0.15355603434338935,0.182,875,1089,1089,1079.822616694285,888.5806784712095
CIFAR-10-C,ResNet-18,0,impulse_noise,10000,0.001,0.1406589678085615,0.1713,902,1369,1369,989.3724116558076,813.0580645351419
CIFAR-10-C,ResNet-18,0,defocus_blur,10000,0.001,0.07031396970557202,0.0876,3341,4862,4862,484.60388808158234,337.2778169196868
CIFAR-10-C,ResNet-18,0,glass_blur,10000,0.001,0.16512103324466465,0.2002,389,381,389,985.9261491021515,766.4127546667241
CIFAR-10-C,ResNet-18,0,motion_blur,10000,0.001,0.10771561802826259,0.1425,820,751,820,714.8618239767169,596.2779895902681
CIFAR-10-C,ResNet-18,0,zoom_blur,10000,0.001,0.09084055602795568,0.1238,738,510,738,612.6678337733844,523.0438739960688
CIFAR-10-C,ResNet-18,0,snow,10000,0.001,0.04299347835054595,0.0526,1093,2244,2244,202.42004201102407,112.8631929460831
CIFAR-10-C,ResNet-18,0,frost,10000,0.001,0.07464913121784764,0.0967,853,987,987,439.4931011982194,328.5427702790328
CIFAR-10-C,ResNet-18,0,fog,10000,0.001,0.04381542189804758,0.0561,2199,3413,3413,253.86202352532177,172.25533484256007
CIFAR-10-C,ResNet-18,0,brightness,10000,0.001,0.008869143446617402,0.0124,6426,8246,8246,29.95268502713268,14.891468208163388
CIFAR-10-C,ResNet-18,0,contrast,10000,0.001,0.14714914750500616,0.1875,1855,1207,1855,1047.3037146433323,928.4554496740312
CIFAR-10-C,ResNet-18,0,elastic_transform,10000,0.001,0.026843153047092345,0.0366,1174,789,1174,105.33465544557926,69.61809101081701
CIFAR-10-C,ResNet-18,0,pixelate,10000,0.001,0.09060454601780207,0.1119,1493,2147,2147,618.9383781222323,482.0951299979637
CIFAR-10-C,ResNet-18,0,jpeg_compression,10000,0.001,0.014742406671442155,0.0194,1388,1388,1388,34.146890197138546,18.270553402494603
CIFAR-10-C,ResNet-18,1,gaussian_noise,10000,0.001,0.2042334581798292,0.2398,607,783,783,1477.2348367620123,1275.3993811760847
CIFAR-10-C,ResNet-18,1,shot_noise,10000,0.001,0.15103860101971392,0.1851,767,1176,1176,1070.6601943921175,912.6693071393197
CIFAR-10-C,ResNet-18,1,impulse_noise,10000,0.001,0.12034300945091861,0.1516,806,1872,1872,813.7827283325018,659.6283240870463
CIFAR-10-C,ResNet-18,1,defocus_blur,10000,0.001,0.07866909296648643,0.1002,3323,4549,4549,533.8266670392057,414.96321494763566
CIFAR-10-C,ResNet-18,1,glass_blur,10000,0.001,0.16529886390535295,0.1992,349,408,408,965.7314327585879,759.9003581738473
CIFAR-10-C,ResNet-18,1,motion_blur,10000,0.001,0.10979838341308966,0.1428,695,859,859,738.572456992479,607.0499062490538
CIFAR-10-C,ResNet-18,1,zoom_blur,10000,0.001,0.10803602776557145,0.1414,660,853,853,740.8856170758839,620.8829687692505
CIFAR-10-C,ResNet-18,1,snow,10000,0.001,0.052659875232575884,0.0613,1651,2125,2125,274.18507317547574,154.13265485751046
CIFAR-10-C,ResNet-18,1,frost,10000,0.001,0.0891032617417869,0.1122,891,748,891,530.8387388480645,407.7822641661405
CIFAR-10-C,ResNet-18,1,fog,10000,0.001,0.0462354728851942,0.0608,2283,3263,3263,277.4288622560943,196.04656934815813
CIFAR-10-C,ResNet-18,1,brightness,10000,0.001,0.007037456123187813,0.0089,8124,9082,9082,17.601013485585096,6.808063848856586
CIFAR-10-C,ResNet-18,1,contrast,10000,0.001,0.13918629618938494,0.1778,1665,2400,2400,956.3406721892327,840.9213282292031
CIFAR-10-C,ResNet-18,1,elastic_transform,10000,0.001,0.028982018183480885,0.0392,1188,1978,1978,133.50212089700446,87.22650942315525
CIFAR-10-C,ResNet-18,1,pixelate,10000,0.001,0.1081431381968016,0.1321,1473,2296,2296,759.8590315891547,611.2337185891191
CIFAR-10-C,ResNet-18,1,jpeg_compression,10000,0.001,0.016670059079626962,0.025,1299,571,1299,49.98800150155411,35.37370333112016
CIFAR-10-C,ResNet-18,2,gaussian_noise,10000,0.001,0.19588993574087507,0.2335,567,689,689,1425.5046004685457,1285.1302340818193
CIFAR-10-C,ResNet-18,2,shot_noise,10000,0.001,0.1524356716378892,0.1864,759,1479,1479,1102.9201765684977,965.8373629650303
CIFAR-10-C,ResNet-18,2,impulse_noise,10000,0.001,0.13851948243207657,0.1729,917,548,917,978.250770548047,808.5429162516645
CIFAR-10-C,ResNet-18,2,defocus_blur,10000,0.001,0.07925181572928545,0.1022,3859,4202,4202,546.49664834235,449.6693135916814
CIFAR-10-C,ResNet-18,2,glass_blur,10000,0.001,0.15626678374455247,0.1924,414,454,454,889.4537312592341,710.8830888532823
CIFAR-10-C,ResNet-18,2,motion_blur,10000,0.001,0.10426598250126531,0.1372,889,891,891,674.6053063076162,584.805434263131
CIFAR-10-C,ResNet-18,2,zoom_blur,10000,0.001,0.10279331679672132,0.1342,696,559,696,703.23152991056,581.2621802635252
CIFAR-10-C,ResNet-18,2,snow,10000,0.001,0.04830950964001323,0.0598,901,468,901,247.24041102024034,156.9600750869924
CIFAR-10-C,ResNet-18,2,frost,10000,0.001,0.06983829106353989,0.0868,858,2437,2437,411.934235457935,290.38277451792874
CIFAR-10-C,ResNet-18,2,fog,10000,0.001,0.04266138267676887,0.0581,2167,2152,2167,257.7871704474254,194.70696073851485
CIFAR-10-C,ResNet-18,2,brightness,10000,0.001,0.007633828357940112,0.0113,6946,8280,8280,23.426182050361053,13.36616881645228
CIFAR-10-C,ResNet-18,2,contrast,10000,0.001,0.14904405451025413,0.184,1643,2352,2352,1026.8119049593413,886.4275873463228
CIFAR-10-C,ResNet-18,2,elastic_transform,10000,0.001,0.03561421746315519,0.0469,1083,1803,1803,173.59373583561015,109.88521915246965
CIFAR-10-C,ResNet-18,2,pixelate,10000,0.001,0.1045032707943333,0.1265,2041,3052,3052,730.6845226427865,546.4354602957319
CIFAR-10-C,ResNet-18,2,jpeg_compression,10000,0.001,0.01841921538510017,0.0218,1297,2757,2757,57.162427892276234,24.66294473390492
