seed,candidate_mode,evaluation_split,n_current_observations,n_retention_probes,current_mean_brier_advantage,current_mean_error_advantage,retention_mean_brier_difference,retention_mean_error_difference,current_only_promotion_time,plasticity_retention_promotion_time,incumbent_current_brier_loss,candidate_current_brier_loss,incumbent_current_error_rate,candidate_current_error_rate,incumbent_retention_brier_loss,candidate_retention_brier_loss,incumbent_retention_error_rate,candidate_retention_error_rate,current_brier_crossing_index,current_brier_final_log_evidence,current_error_crossing_index,current_error_final_log_evidence,retention_brier_crossing_index,retention_brier_final_log_evidence,retention_error_crossing_index,retention_error_final_log_evidence
1,naive,confirmation,5000,5000,0.7650883026754657,0.8032,-0.7511617263037004,-0.9052,128.0,,0.9048834187984468,0.139795116122981,1.0,0.1968,0.0722293381613456,0.823391064465046,0.0948,1.0,9.0,2562.101598390668,10.0,2240.1592103623325,,-407.7743707041978,,-500.9268713262647
1,no_update,confirmation,5000,5000,0.0,0.0,0.0,0.0,,,0.9048834187984468,0.9048834187984468,1.0,1.0,0.0722293381613456,0.0722293381613456,0.0948,0.0948,,0.0,,0.0,49.0,449.5898082639068,49.0,449.5898082639068
1,replay,confirmation,5000,5000,0.4993462387905107,0.3948,-0.0288400081382203,-0.0372,128.0,4992.0,0.9048834187984468,0.405537180007936,1.0,0.6052,0.0722293381613456,0.1010693462995659,0.0948,0.132,9.0,2209.5154310358384,17.0,1005.9444369538274,605.0,43.43950686068818,4947.0,2.892267147055504
2,naive,confirmation,5000,5000,0.7463823134882422,0.793,-0.7175281555349348,-0.9038,128.0,,0.8965238636374474,0.150141550149205,1.0,0.207,0.073417168242264,0.7909453237771988,0.0962,1.0,9.0,2571.2161426874045,11.0,2209.0259652882637,,-387.6370258159606,,-500.117721506789
2,no_update,confirmation,5000,5000,0.0,0.0,0.0,0.0,,,0.8965238636374474,0.8965238636374474,1.0,1.0,0.073417168242264,0.073417168242264,0.0962,0.0962,,0.0,,0.0,49.0,449.5898082639068,49.0,449.5898082639068
2,replay,confirmation,5000,5000,0.4969753921481781,0.4094,-0.0330454664732772,-0.0442,128.0,,0.8965238636374474,0.3995484714892693,1.0,0.5906,0.073417168242264,0.1064626347155413,0.0962,0.1404,11.0,2113.153663224828,20.0,1048.8508318423844,1116.0,26.52754100221909,,-2.2446472819121395
3,naive,confirmation,5000,5000,0.762913827352292,0.7906,-0.7132262216111491,-0.905,128.0,,0.9096212735772132,0.1467074462249213,1.0,0.2094,0.0716125925401379,0.7848388141512871,0.095,1.0,9.0,2567.203825228509,10.0,2201.6481944275374,,-385.1188199892046,,-500.8112784949109
3,no_update,confirmation,5000,5000,0.0,0.0,0.0,0.0,,,0.9096212735772132,0.9096212735772132,1.0,1.0,0.0716125925401379,0.0716125925401379,0.095,0.095,,0.0,,0.0,49.0,449.5898082639068,49.0,449.5898082639068
3,replay,confirmation,5000,5000,0.4712121530439239,0.3436,-0.0272103060591178,-0.0348,128.0,3712.0,0.9096212735772132,0.4384091205332894,1.0,0.6564,0.0716125925401379,0.0988228985992558,0.095,0.1298,9.0,2172.696994866422,21.0,855.2975162607817,390.0,46.15984497157207,3697.0,4.214615483235457
4,naive,confirmation,5000,5000,0.6879980762753696,0.661,-0.6910788507939948,-0.9036,128.0,,0.8974719609618187,0.2094738846864492,1.0,0.339,0.0726574403165208,0.7637362911105156,0.0964,1.0,10.0,2563.4771319628817,15.0,1805.5348877146787,,-372.25950959157774,,-500.0021286754357
4,no_update,confirmation,5000,5000,0.0,0.0,0.0,0.0,,,0.8974719609618187,0.8974719609618187,1.0,1.0,0.0726574403165208,0.0726574403165208,0.0964,0.0964,,0.0,,0.0,49.0,449.5898082639068,49.0,449.5898082639068
4,replay,confirmation,5000,5000,0.4284797672063112,0.2788,-0.0250675298972022,-0.0284,128.0,256.0,0.8974719609618187,0.4689921937555075,1.0,0.7212,0.0726574403165208,0.097724970213723,0.0964,0.1248,12.0,2178.965219492576,38.0,664.7828008077566,251.0,64.33213245160086,49.0,14.029872029146333
5,naive,confirmation,5000,5000,0.7525323814835285,0.8016,-0.726069134120371,-0.8926,128.0,,0.892778816986084,0.1402464355025555,1.0,0.1984,0.0808765439110735,0.8069456780314446,0.1074,1.0,8.0,2542.30756711382,8.0,2235.268922624581,,-392.8553853042587,,-493.6445229509872
5,no_update,confirmation,5000,5000,0.0,0.0,0.0,0.0,,,0.892778816986084,0.892778816986084,1.0,1.0,0.0808765439110735,0.0808765439110735,0.1074,0.1074,,0.0,,0.0,49.0,449.5898082639068,49.0,449.5898082639068
5,replay,confirmation,5000,5000,0.4711867723909556,0.3556,-0.0257803998670578,-0.0334,128.0,3840.0,0.892778816986084,0.4215920445951284,1.0,0.6444,0.0808765439110735,0.1066569437781314,0.1074,0.1408,11.0,2188.405732305207,27.0,890.6413427981493,310.0,54.36886270792863,3796.0,6.308409526180579
