replay_ratio,adaptation_learning_rate,adaptation_size,replay_size,evaluation_split,seed,candidate_mode,all_components_crossed,n_current_observations,n_retention_probes,current_mean_brier_advantage,current_mean_error_advantage,retention_mean_brier_difference,retention_mean_error_difference,current_only_promotion_time,plasticity_retention_promotion_time,incumbent_current_brier_loss,candidate_current_brier_loss,incumbent_current_error_rate,candidate_current_error_rate,incumbent_retention_brier_loss,candidate_retention_brier_loss,incumbent_retention_error_rate,candidate_retention_error_rate,current_brier_crossing_index,current_brier_final_log_evidence,current_error_crossing_index,current_error_final_log_evidence,retention_brier_crossing_index,retention_brier_final_log_evidence,retention_error_crossing_index,retention_error_final_log_evidence
1.0,0.001,15000,15000,development,0,replay,False,5000,5000,0.4296992018051445,0.103,-0.0545953705510047,-0.0332,128.0,,0.9070844071388244,0.4773852053336799,1.0,0.897,0.0761829602765895,0.1307783308275943,0.1012,0.1344,9.0,2580.987230691221,105.0,208.3334324084748,,-6.082527985768095,2731.0,6.65522083039127
1.1,0.001,15000,15000,development,0,replay,False,5000,5000,0.4058384271979331,0.062,-0.0463328958649492,-0.025,256.0,,0.9070844071388244,0.5012459799408913,1.0,0.938,0.0761829602765895,0.1225158561415388,0.1012,0.1262,9.0,2553.9275793719844,179.0,120.06868722887587,,-0.6549251591666825,1485.0,18.304956997269574
1.25,0.001,15000,15000,development,0,replay,True,5000,5000,0.3822608292013407,0.0412,-0.0389382364808328,-0.0212,384.0,3712.0,0.9070844071388244,0.5248235779374838,1.0,0.9588,0.0761829602765895,0.1151211967574223,0.1012,0.1224,9.0,2474.119009392344,325.0,77.60096638253738,3630.0,10.87359077346936,1267.0,25.130321528172768
1.5,0.001,15000,15000,development,0,replay,True,5000,5000,0.3574773054897785,0.0192,-0.0315115326107681,-0.0136,640.0,1024.0,0.9070844071388244,0.5496071016490459,1.0,0.9808,0.0761829602765895,0.1076944928873577,0.1012,0.1148,9.0,2401.4176824178912,602.0,34.41219682250656,829.0,33.61656101364472,937.0,45.91852155424621
1.75,0.001,15000,15000,development,0,replay,True,5000,5000,0.3388626354992389,0.0072,-0.0272330832688327,-0.0134,1920.0,1920.0,0.9070844071388244,0.5682217716395855,1.0,0.9928,0.0761829602765895,0.1034160435454222,0.1012,0.1146,10.0,2302.701862375492,1845.0,11.760711679686022,616.0,48.93601137045389,943.0,45.43421094972679
2.0,0.001,15000,15000,development,0,replay,True,5000,5000,0.321245544090867,0.0028,-0.024963802303924,-0.0154,4608.0,4608.0,,,,,,,,,10.0,2219.564292732948,4503.0,3.85461012628213,272.0,59.42354167661121,256.0,39.87341869465347
2.0,0.003,15000,15000,development,0,replay,False,5000,5000,0.6034425168886184,0.5536,-0.0484575439496529,-0.0754,128.0,,0.9070844071388244,0.303641890250206,1.0,0.4464,0.0761829602765895,0.1246405042262425,0.1012,0.1766,9.0,2359.0961026087757,20.0,1477.2859152164117,,-2.5005007971098947,,-20.40727107209099
3.0,0.003,15000,15000,development,0,replay,False,5000,5000,0.4974521087322384,0.3782,-0.0292263569781277,-0.0388,128.0,,0.9070844071388244,0.409632298406586,1.0,0.6218,0.0761829602765895,0.1054093172547173,0.1012,0.14,10.0,2225.429288295601,28.0,957.0430005771968,993.0,43.722907300811066,,1.5628779590141657
3.25,0.003,15000,15000,development,0,replay,True,5000,5000,0.4598069049062207,0.3254,-0.0226597704910276,-0.0256,128.0,2176.0,0.9070844071388244,0.4472775022326037,1.0,0.6746,0.0761829602765895,0.0988427307676172,0.1012,0.1268,10.0,2163.906434469638,28.0,801.7911365353381,728.0,74.81166906702441,2124.0,18.642606078761325
3.5,0.003,15000,15000,development,0,replay,True,5000,5000,0.4416363762535155,0.287,-0.0208485602465191,-0.0214,128.0,1920.0,0.9070844071388244,0.465448030885309,1.0,0.713,0.0761829602765895,0.0970315205231087,0.1012,0.1226,10.0,2167.7579772057743,28.0,688.8806901334472,616.0,83.52556401316487,1911.0,27.239732652231996
3.75,0.003,15000,15000,development,0,replay,True,5000,5000,0.4170298387043178,0.2548,-0.018736180193595,-0.0218,128.0,1792.0,0.9070844071388244,0.4900545684345067,1.0,0.7452,0.0761829602765895,0.0949191404701846,0.1012,0.123,10.0,2096.2521613094423,27.0,594.135029158929,258.0,95.44867550999469,1689.0,25.65782652767842
4.0,0.003,15000,15000,development,0,replay,True,5000,5000,0.3997053039140999,0.22,-0.0174582573425196,-0.02,128.0,1152.0,0.9070844071388244,0.5073791032247246,1.0,0.78,0.0761829602765895,0.0936412176191092,0.1012,0.1212,11.0,2068.061964669946,59.0,493.7076336286018,83.0,101.96616501773272,1075.0,31.593108716689336
1.0,0.005,15000,15000,development,0,replay,False,5000,5000,0.7416465921835843,0.767,-0.0867707804230822,-0.1338,128.0,,0.9070844071388244,0.1654378149552401,1.0,0.233,0.0761829602765895,0.1629537406996718,0.1012,0.235,9.0,2526.267724938777,9.0,2129.516450295698,,-25.083487076191144,,-55.05574418101825
